date,year,close,target,,
12/19/2017 7:00,2017,114.515625,0,,
12/19/2017 9:00,2017,114.382812,-0.109376,,
12/19/2017 11:00,2017,114.335938,-0.0625,,
12/19/2017 13:00,2017,114.265625,-0.078125,,
12/19/2017 15:00,2017,114.3125,0.03125,,
12/20/2017 7:00,2017,114.328125,0.023437,,
12/20/2017 9:00,2017,114.242188,-0.070312,,
12/20/2017 11:00,2017,114.242188,0.046876,,
12/20/2017 13:00,2017,114.28125,0.007812,,
12/20/2017 15:00,2017,114.210938,-0.046874,,
12/21/2017 7:00,2017,114.273438,0.046876,,
12/21/2017 9:00,2017,114.226562,-0.0625,,
12/21/2017 11:00,2017,114.171875,-0.015625,,
12/21/2017 13:00,2017,114.179688,-0.015624,,
12/21/2017 15:00,2017,114.179688,0,,
12/22/2017 7:00,2017,114.1875,0.007812,,
12/22/2017 9:00,2017,114.164062,-0.015626,,
12/22/2017 11:00,2017,114.15625,-0.023438,,
12/22/2017 13:00,2017,114.148438,0.007813,,
12/22/2017 15:00,2017,114.164062,0.023437,,
12/26/2017 7:00,2017,114.109375,-0.054687,,
12/26/2017 9:00,2017,114.140625,0.023437,,
12/26/2017 11:00,2017,114.203125,0.046875,,
12/26/2017 13:00,2017,114.195312,-0.015626,,
12/26/2017 15:00,2017,114.226562,0.054687,,
12/27/2017 7:00,2017,114.195312,-0.007813,,
12/27/2017 9:00,2017,114.242188,0.046876,,
12/27/2017 11:00,2017,114.28125,0.03125,,
12/27/2017 13:00,2017,114.335938,0.046876,,
12/27/2017 15:00,2017,114.398438,0.054688,,
12/28/2017 7:00,2017,114.34375,-0.03125,,
12/28/2017 9:00,2017,114.351562,0.023437,,
12/28/2017 11:00,2017,114.351562,0,,
12/28/2017 13:00,2017,114.328125,-0.03125,,
12/28/2017 15:00,2017,114.328125,0.007813,,
12/29/2017 7:00,2017,114.382812,0.046874,,
12/29/2017 9:00,2017,114.359375,-0.023437,,
12/29/2017 11:00,2017,114.398438,0.015626,,
12/29/2017 13:00,2017,114.429688,0.023438,,
12/29/2017 15:00,2017,114.421875,-0.015625,,
1/2/2018 7:00,2018,114.351562,-0.0625,,
1/2/2018 9:00,2018,114.367188,0.007813,,
1/2/2018 11:00,2018,114.226562,-0.101563,,
1/2/2018 13:00,2018,114.1875,-0.03125,,
1/2/2018 15:00,2018,114.242188,0.070313,,
1/3/2018 7:00,2018,114.296875,0.046875,,
1/3/2018 9:00,2018,114.289062,-0.015626,,
1/3/2018 11:00,2018,114.289062,-0.015626,,
1/3/2018 13:00,2018,114.3125,0.007812,,
1/3/2018 15:00,2018,114.242188,-0.070312,,
1/4/2018 7:00,2018,114.117188,-0.117187,,
1/4/2018 9:00,2018,114.015625,-0.101563,,
1/4/2018 11:00,2018,114.046875,-0.023437,,
1/4/2018 13:00,2018,114.140625,0.0625,,
1/4/2018 15:00,2018,114.132812,-0.015626,,
1/5/2018 7:00,2018,114.101562,-0.015626,,
1/5/2018 9:00,2018,114.132812,0.015624,,
1/5/2018 11:00,2018,114.039062,-0.085938,,
1/5/2018 13:00,2018,114.054688,-0.015624,,
1/5/2018 15:00,2018,114.0625,0.007812,,
1/8/2018 7:00,2018,114.085938,0.023438,,
1/8/2018 9:00,2018,114.09375,0.007812,,
1/8/2018 11:00,2018,114.054688,-0.046874,,
1/8/2018 13:00,2018,114.054688,0.03125,,
1/8/2018 15:00,2018,114.046875,-0.007813,,
1/9/2018 7:00,2018,114.0625,0.03125,,
1/9/2018 9:00,2018,114.046875,-0.03125,,
1/9/2018 11:00,2018,113.976562,-0.039063,,
1/9/2018 13:00,2018,113.929688,-0.007812,,
1/9/2018 15:00,2018,113.890625,-0.054687,,
1/10/2018 7:00,2018,113.78125,-0.09375,,
1/10/2018 9:00,2018,113.796875,-0.03125,,
1/10/2018 11:00,2018,113.78125,-0.007812,,
1/10/2018 13:00,2018,113.8125,0,,
1/10/2018 15:00,2018,113.875,0.039062,,
1/11/2018 7:00,2018,113.921875,0.007813,,
1/11/2018 9:00,2018,113.859375,-0.054687,,
1/11/2018 11:00,2018,113.851562,-0.015626,,
1/11/2018 13:00,2018,113.890625,0.023437,,
1/11/2018 15:00,2018,113.9375,0.03125,,
1/12/2018 7:00,2018,113.851562,-0.078126,,
1/12/2018 9:00,2018,113.679688,-0.171874,,
1/12/2018 11:00,2018,113.734375,0.007813,,
1/12/2018 13:00,2018,113.734375,0.007813,,
1/12/2018 15:00,2018,113.78125,0,,
1/15/2018 7:00,2018,113.820312,0.023437,,
1/15/2018 9:00,2018,113.796875,-0.007813,,
1/15/2018 11:00,2018,113.78125,-0.007812,,
1/15/2018 13:00,2018,113.773438,0.007813,,
1/16/2018 7:00,2018,113.867188,0.09375,,
1/16/2018 9:00,2018,113.835938,-0.03125,,
1/16/2018 11:00,2018,113.804688,-0.03125,,
1/16/2018 13:00,2018,113.710938,-0.03125,,
1/16/2018 15:00,2018,113.757812,0.015624,,
1/17/2018 7:00,2018,113.648438,-0.109374,,
1/17/2018 9:00,2018,113.632812,-0.015626,,
1/17/2018 11:00,2018,113.664062,0.03125,,
1/17/2018 13:00,2018,113.625,-0.023438,,
1/17/2018 15:00,2018,113.578125,-0.078125,,
1/18/2018 7:00,2018,113.507812,-0.09375,,
1/18/2018 9:00,2018,113.5,-0.03125,,
1/18/2018 11:00,2018,113.5,0.015625,,
1/18/2018 13:00,2018,113.523438,-0.023437,,
1/18/2018 15:00,2018,113.523438,0,,
1/19/2018 7:00,2018,113.484375,0,,
1/19/2018 9:00,2018,113.523438,0.046876,,
1/19/2018 11:00,2018,113.4375,-0.03125,,
1/19/2018 13:00,2018,113.46875,0,,
1/19/2018 15:00,2018,113.398438,-0.046874,,
1/22/2018 7:00,2018,113.367188,-0.015624,,
1/22/2018 9:00,2018,113.335938,0,,
1/22/2018 11:00,2018,113.40625,0.03125,,
