date,open,low,high,close
12/18/17 21:30,119.796875,119.796875,119.8125,119.796875
12/18/17 22:00,119.8125,119.796875,119.828125,119.828125
12/18/17 22:30,119.828125,119.828125,119.84375,119.84375
12/18/17 23:00,119.84375,119.828125,119.84375,119.84375
12/18/17 23:30,119.828125,119.828125,119.84375,119.828125
12/19/17 0:00,119.828125,119.8125,119.84375,119.828125
12/19/17 0:30,119.828125,119.8125,119.84375,119.8125
12/19/17 1:00,119.8125,119.796875,119.8125,119.8125
12/19/17 1:30,119.8125,119.796875,119.828125,119.828125
12/19/17 2:00,119.8125,119.8125,119.84375,119.828125
12/19/17 2:30,119.84375,119.828125,119.84375,119.84375
12/19/17 3:00,119.828125,119.8125,119.859375,119.84375
12/19/17 3:30,119.859375,119.828125,119.875,119.84375
12/19/17 4:00,119.84375,119.828125,119.859375,119.84375
12/19/17 4:30,119.84375,119.828125,119.875,119.84375
12/19/17 5:00,119.84375,119.828125,119.859375,119.828125
12/19/17 5:30,119.828125,119.796875,119.84375,119.796875
12/19/17 6:00,119.796875,119.796875,119.828125,119.828125
12/19/17 6:30,119.8125,119.796875,119.84375,119.8125
12/19/17 7:00,119.8125,119.8125,119.859375,119.84375
12/19/17 7:30,119.84375,119.796875,119.875,119.828125
12/19/17 8:00,119.828125,119.765625,119.828125,119.765625
12/19/17 8:30,119.765625,119.65625,119.765625,119.6875
12/19/17 9:00,119.671875,119.5625,119.6875,119.578125
12/19/17 9:30,119.578125,119.5625,119.609375,119.578125
12/19/17 10:00,119.59375,119.546875,119.609375,119.5625
12/19/17 10:30,119.578125,119.484375,119.59375,119.5
12/19/17 11:00,119.5,119.390625,119.515625,119.40625
12/19/17 11:30,119.40625,119.390625,119.46875,119.40625
12/19/17 12:00,119.40625,119.359375,119.421875,119.390625
12/19/17 12:30,119.390625,119.28125,119.40625,119.3125
12/19/17 13:00,119.3125,119.265625,119.34375,119.28125
12/19/17 13:30,119.28125,119.25,119.296875,119.28125
12/19/17 14:00,119.28125,119.265625,119.328125,119.328125
12/19/17 14:30,119.3125,119.25,119.328125,119.28125
12/19/17 15:00,119.28125,119.265625,119.34375,119.328125
12/19/17 15:30,119.328125,119.296875,119.34375,119.3125
12/19/17 16:00,119.3125,119.3125,119.375,119.375
12/19/17 16:30,119.359375,119.359375,119.390625,119.375
12/19/17 17:00,119.359375,119.296875,119.375,119.296875
12/19/17 18:30,119.34375,119.34375,119.375,119.359375
12/19/17 19:00,119.359375,119.359375,119.390625,119.359375
12/19/17 19:30,119.375,119.359375,119.390625,119.390625
12/19/17 20:00,119.375,119.375,119.421875,119.40625
12/19/17 20:30,119.40625,119.390625,119.421875,119.40625
12/19/17 21:00,119.40625,119.390625,119.40625,119.390625
12/19/17 21:30,119.390625,119.390625,119.40625,119.390625
12/19/17 22:00,119.40625,119.390625,119.40625,119.390625
12/19/17 22:30,119.40625,119.390625,119.40625,119.390625
12/19/17 23:00,119.40625,119.390625,119.40625,119.390625
12/19/17 23:00,119.390625,119.390625,119.40625,119.40625
12/20/17 0:00,119.40625,119.375,119.40625,119.375
12/20/17 0:30,119.390625,119.375,119.390625,119.375
12/20/17 1:00,119.375,119.34375,119.390625,119.359375
12/20/17 1:30,119.375,119.328125,119.375,119.34375
12/20/17 2:00,119.359375,119.34375,119.375,119.375
12/20/17 2:30,119.359375,119.328125,119.375,119.375
12/20/17 3:00,119.359375,119.296875,119.375,119.3125
12/20/17 3:30,119.3125,119.265625,119.359375,119.34375
12/20/17 4:00,119.328125,119.328125,119.375,119.34375
12/20/17 4:30,119.34375,119.3125,119.390625,119.359375
12/20/17 5:00,119.375,119.359375,119.40625,119.390625
12/20/17 5:30,119.390625,119.390625,119.453125,119.390625
12/20/17 6:00,119.40625,119.359375,119.40625,119.359375
12/20/17 6:30,119.359375,119.359375,119.40625,119.390625
12/20/17 7:00,119.390625,119.328125,119.390625,119.34375
12/20/17 7:30,119.328125,119.28125,119.34375,119.296875
12/20/17 8:00,119.296875,119.25,119.296875,119.28125
12/20/17 8:30,119.28125,119.09375,119.296875,119.140625
12/20/17 9:00,119.140625,119.125,119.171875,119.15625
12/20/17 9:30,119.15625,119.046875,119.15625,119.0625
12/20/17 10:00,119.0625,119.0625,119.171875,119.15625
12/20/17 10:30,119.15625,119.078125,119.171875,119.09375
12/20/17 11:00,119.09375,119.078125,119.15625,119.140625
12/20/17 11:30,119.15625,119.125,119.234375,119.203125
12/20/17 12:00,119.21875,119.1875,119.234375,119.21875
12/20/17 12:30,119.21875,119.1875,119.28125,119.265625
12/20/17 13:00,119.25,119.1875,119.28125,119.203125
12/20/17 13:30,119.203125,119.15625,119.21875,119.15625
12/20/17 14:00,119.140625,119.125,119.171875,119.140625
12/20/17 14:30,119.140625,119.109375,119.15625,119.15625
12/20/17 15:00,119.15625,119.078125,119.15625,119.078125
12/20/17 15:30,119.09375,119.046875,119.140625,119.109375
12/20/17 16:00,119.125,119.09375,119.125,119.09375
12/20/17 16:30,119.109375,119.0625,119.125,119.09375
12/20/17 17:00,119.09375,119.078125,119.109375,119.078125
12/20/17 18:30,119.078125,119.0625,119.125,119.125
12/20/17 19:00,119.125,119.109375,119.15625,119.140625
12/20/17 19:30,119.140625,119.125,119.15625,119.140625
12/20/17 20:00,119.140625,119.125,119.15625,119.125
12/20/17 20:30,119.140625,119.125,119.140625,119.140625
12/20/17 21:00,119.140625,119.125,119.1875,119.15625
12/20/17 21:30,119.171875,119.15625,119.171875,119.171875
12/20/17 21:30,119.1875,119.15625,119.1875,119.15625
12/20/17 22:30,119.171875,119.15625,119.1875,119.1875
12/20/17 23:00,119.1875,119.171875,119.21875,119.21875
12/20/17 23:30,119.203125,119.203125,119.21875,119.203125
12/21/17 0:00,119.203125,119.1875,119.21875,119.1875
12/21/17 0:30,119.1875,119.1875,119.25,119.203125
12/21/17 1:00,119.203125,119.1875,119.203125,119.1875
12/21/17 1:30,119.203125,119.1875,119.203125,119.203125
12/21/17 2:00,119.1875,119.1875,119.21875,119.21875
12/21/17 2:30,119.234375,119.140625,119.234375,119.15625
12/21/17 3:00,119.140625,119.140625,119.15625,119.15625
12/21/17 3:30,119.15625,119.046875,119.15625,119.109375
12/21/17 4:00,119.109375,119.09375,119.140625,119.125
