Date,MACD,rsi,D1,D10,D20,FADiff,SADiff,fut,Sum,time,d11,d12,d13,d14,d15,d16,d17,d18,d19,d110
2018-01-02 11:00:00,0.0049720120284817,47.00697957608046,-0.0151882500000084,-0.0218130000000016,-0.0004060000000052,-0.0146321666666793,-0.0117555277777867,0.0361262500000023,0,11,,,,,,,,,,
2018-01-02 13:00:00,0.0065170805953087,59.76216650706506,0.0361262500000023,0.0280324999999876,0.0544394999999795,0.0187717499999919,0.0223307638888812,-0.0005947500000118,2,13,-0.0151882500000084,,,,,,,,,
2018-01-02 15:00:00,0.0076058912320462,59.508220511496845,-0.0005947500000118,0.0239062499999676,0.0354067499999715,0.0168471111110974,0.0198835694444241,-0.0060309999999788,1,15,0.0361262500000023,-0.0151882500000084,,,,,,,,
2018-01-03 05:00:00,0.0078911657624658,56.86926416761871,-0.0060309999999788,0.0059380000000004,0.0300935000000066,0.009420249999998,0.0128924861111201,0.0054362499999953,1,5,-0.0005947500000118,0.0361262500000023,-0.0151882500000084,,,,,,,
2018-01-03 07:00:00,0.0084584046023863,58.64931626335156,0.0054362499999953,0.0179989999999889,0.032749250000009,0.0107593333333326,0.0171152916666699,-0.0033742500000073,1,7,-0.0060309999999788,-0.0005947500000118,0.0361262500000023,-0.0151882500000084,,,,,,
2018-01-03 09:00:00,0.0085372594815069,57.0747802002131,-0.0033742500000073,0.0335002499999959,0.0193434999999908,0.0060725555555478,0.0125761388888818,0.0044377499999939,1,9,0.0054362499999953,-0.0060309999999788,-0.0005947500000118,0.0361262500000023,-0.0151882500000084,,,,,
2018-01-03 11:00:00,0.0088557582103732,58.64718721786426,0.0044377499999939,0.0162504999999697,0.022905499999986,0.0088679722222124,0.0153159861110907,-0.0060624999999916,1,11,-0.0033742500000073,0.0054362499999953,-0.0060309999999788,-0.0005947500000118,0.0361262500000023,-0.0151882500000084,,,,
2018-01-03 13:00:00,0.0085207556964022,55.64818326199994,-0.0060624999999916,0.0087184999999863,0.0193434999999908,0.0022951111111098,0.0079826527777697,-0.0017180000000038,1,13,0.0044377499999939,-0.0033742500000073,0.0054362499999953,-0.0060309999999788,-0.0005947500000118,0.0361262500000023,-0.0151882500000084,,,
2018-01-03 15:00:00,0.0080241382772356,54.79309339150763,-0.0017180000000038,0.0028752499999953,0.0227817499999858,-0.0008708333333373,0.005908722222216,-0.0098757500000061,1,15,-0.0060624999999916,0.0044377499999939,-0.0033742500000073,0.0054362499999953,-0.0060309999999788,-0.0005947500000118,0.0361262500000023,-0.0151882500000084,,
2018-01-04 05:00:00,0.006755798267612,50.03366598122536,-0.0098757500000061,0.0031557499999834,0.011281249999989,-0.0127848055555546,-0.0045364861111281,-0.0007184999999765,0,5,-0.0017180000000038,-0.0060624999999916,0.0044377499999939,-0.0033742500000073,0.0054362499999953,-0.0060309999999788,-0.0005947500000118,0.0361262500000023,-0.0151882500000084,
2018-01-04 07:00:00,0.0056277791914922,49.695455600941465,-0.0007184999999765,0.0176255000000153,-0.0041874999999862,-0.0114476666666547,-0.0055883333333284,-0.0063452499999954,1,7,-0.0098757500000061,-0.0017180000000038,-0.0060624999999916,0.0044377499999939,-0.0033742500000073,0.0054362499999953,-0.0060309999999788,-0.0005947500000118,0.0361262500000023,-0.0151882500000084
2018-01-04 09:00:00,0.0041736955370765,46.69360767851353,-0.0063452499999954,-0.0248459999999823,0.0031865000000053,-0.0150983333333201,-0.011251236111093,-0.0086860000000186,-1,9,-0.0007184999999765,-0.0098757500000061,-0.0017180000000038,-0.0060624999999916,0.0044377499999939,-0.0033742500000073,0.0054362499999953,-0.0060309999999788,-0.0005947500000118,0.0361262500000023
2018-01-04 11:00:00,0.0022939924398954,42.87559036336038,-0.0086860000000186,-0.0329372499999891,-0.0090310000000215,-0.0207947500000003,-0.0191403749999992,0.0038114999999976,-2,11,-0.0063452499999954,-0.0007184999999765,-0.0098757500000061,-0.0017180000000038,-0.0060624999999916,0.0044377499999939,-0.0033742500000073,0.0054362499999953,-0.0060309999999788,-0.0005947500000118
2018-01-04 13:00:00,0.0010991995011835,45.000780409843664,0.0038114999999976,-0.0230947500000127,-0.0171567500000122,-0.0138131388888922,-0.0157924027777838,-0.0033742500000073,-2,13,-0.0086860000000186,-0.0063452499999954,-0.0007184999999765,-0.0098757500000061,-0.0017180000000038,-0.0060624999999916,0.0044377499999939,-0.0033742500000073,0.0054362499999953,-0.0060309999999788
2018-01-04 15:00:00,-0.0001185892627688,43.45934531063718,-0.0033742500000073,-0.0319052500000154,-0.0139062500000264,-0.0140172777777891,-0.0182378611111246,0.0025005000000035,-2,15,0.0038114999999976,-0.0086860000000186,-0.0063452499999954,-0.0007184999999765,-0.0098757500000061,-0.0017180000000038,-0.0060624999999916,0.0044377499999939,-0.0033742500000073,0.0054362499999953
2018-01-05 05:00:00,-0.0008718757386603,44.963829713889176,0.0025005000000035,-0.0260305000000045,0.0074697499999913,-0.0081314166666786,-0.0148658472222251,-0.0079692500000021,-1,5,-0.0033742500000073,0.0038114999999976,-0.0086860000000186,-0.0063452499999954,-0.0007184999999765,-0.0098757500000061,-0.0017180000000038,-0.0060624999999916,0.0044377499999939,-0.0033742500000073
2018-01-05 07:00:00,-0.0020878451914043,41.201037117832975,-0.0079692500000021,-0.0384375000000005,-0.0221870000000308,-0.0125034444444551,-0.02129166666667,0.0054687499999985,-3,7,0.0025005000000035,-0.0033742500000073,0.0038114999999976,-0.0086860000000186,-0.0063452499999954,-0.0007184999999765,-0.0098757500000061,-0.0017180000000038,-0.0060624999999916,0.0044377499999939
